101.300,79.500,65.400,43.900,31.800,12.900
93.400,72.200,56.700,36.700,28.300,15.000
,40.600,34.400,26.400,24.000,7.200
80.900,59.000,38.100,33.200,25.200,12.300
105.700,86.700,74.300,54.300,38.500,15.700
115.400,97.900,78.700,40.600,28.500,13.700
99.600,76.900,58.900,36.600,25.200,12.800
111.000,88.900,68.900,44.300,30.200,11.200
59.200,46.300,35.300,26.100,17.700,6.400
74.700,60.600,48.100,33.600,22.600,12.000
102.700,78.700,58.300,43.600,24.600,13.400
36.100,29.000,20.000,14.000,6.500,3.600
65.800,51.900,32.700,25.400,18.700,9.300
93.400,72.200,56.700,36.700,28.300,15.000
103.700,79.800,60.200,45.400,25.500,13.700
95.500,72.600,55.800,33.900,23.900,12.800
,41.100,34.500,26.600,24.000,7.400
,50.700,40.500,31.900,25.700,10.100
113.600,85.900,64.800,52.800,25.300,14.100
97.800,75.900,57.500,43.300,29.500,14.400
48.700,39.000,29.500,21.000,10.500,3.600
80.000,62.100,50.700,36.600,,10.500
68.800,49.100,42.000,35.300,,10.000
,40.800,36.200,25.800,23.500,7.100
68.800,51.900,40.100,26.300,18.700,6.700
112.300,89.300,68.600,52.800,26.000,14.500
88.300,75.200,64.000,47.800,32.200,15.900
81.400,62.600,51.300,36.900,,10.500
110.100,88.100,67.400,42.900,29.400,11.100
65.800,52.400,39.700,26.000,16.900,6.500
59.800,46.500,36.000,29.600,22.300,6.500
,40.600,34.400,26.400,24.000,7.200
,46.300,40.600,36.600,25.200,12.300
113.800,92.000,70.600,44.900,30.400,11.500
67.800,51.700,40.200,26.400,16.800,6.500
99.600,76.900,58.900,35.500,25.200,12.800
69.400,54.700,34.500,26.800,19.800,9.800
73.000,59.300,47.300,32.900,22.200,11.700
,53.000,39.400,26.400,17.600,7.400
101.300,79.500,65.400,43.900,31.800,12.900
98.700,76.000,56.900,35.300,23.900,12.800
105.700,86.700,74.300,54.300,38.500,14.800
84.300,68.200,51.700,,17.700,8.600
71.300,56.800,43.800,27.600,18.200,8.200
69.400,54.700,34.500,26.800,19.800,9.800
99.600,76.900,58.900,35.500,25.200,12.800
,40.800,36.200,25.800,23.500,7.100
,40.300,33.200,26.300,24.000,7.100
45.000,33.000,24.500,17.000,8.800,3.500
,40.900,34.400,26.500,24.000,7.300
,38.900,33.200,25.500,23.400,7.000
95.500,72.600,55.800,33.900,23.900,12.800
122.200,102.000,84.100,43.700,28.700,14.500
47.700,32.900,26.400,12.800,6.700,3.100
