"Rancho Alegred'Oeste",Roxa,Mecanizada,3.720,3.600,4.140,4.472,6.484,11.008,14.006,11.484,12.965
,Mecanizável,2.800,2.500,2.875,3.105,4.658,7.957,9.804,6.298,8.535,
,Não Mecanizável,2.400,1.500,1.650,1.782,2.851,4.865,4.902,4.017,4.855,
,Inaproveitáveis,1.400,700,300,324,584,1.031,980,1.148,1.296,
,,,,,,,,,,,
Mista,Mecanizada,2.310,2.500,3.000,3.240,5.508,9.365,10.044,8.370,9.194,
Mecanizável,2.000,1.700,1.800,1.944,3.305,5.619,7.148,5.008,6.508,,
Não Mecanizável,1.650,1.240,1.250,1.350,2.295,3.902,3.932,3.422,3.926,,
Inaproveitáveis,1.300,700,220,238,496,843,817,837,919,,
