72.500,50.500,36.400,33.200,23.600,12.300
95.500,72.700,55.000,33.900,23.900,12.800
62.300,52.900,42.200,23.800,13.200,6.700
87.200,74.100,62.700,46.900,31.500,15.500
68.800,49.100,42.000,35.300,,10.000
113.700,85.900,61.100,53.900,,14.500
68.800,51.100,41.100,27.300,17.500,6.600
83.700,65.400,53.400,37.900,26.500,12.300
108.500,90.600,73.900,39.600,28.700,11.000
,28.500,21.500,14.200,7.500,4.700
,40.700,33.700,26.300,24.800,7.300
75.300,54.300,41.900,26.900,17.900,7.700
95.900,78.600,61.400,37.900,26.200,13.300
,41.300,32.200,28.100,21.400,12.300
105.700,86.700,74.300,54.300,38.500,14.800
,50.600,37.600,29.800,22.800,9.900
68.600,52.500,42.600,25.700,20.500,10.400
80.800,67.600,52.700,32.700,27.400,11.700
75.300,54.300,41.900,26.900,17.900,8.600
74.700,60.600,48.100,33.600,22.600,12.000
91.100,76.300,65.100,49.000,33.300,16.300
,50.600,37.600,29.800,22.800,9.900
90.700,64.800,52.900,39.800,29.700,12.100
95.900,78.600,61.400,37.900,25.200,13.300
,40.900,34.400,26.500,24.000,7.300
72.300,52.000,41.500,24.700,18.200,6.600
95.500,72.700,55.000,33.900,23.900,12.800
,46.500,35.400,23.700,18.100,7.700
,46.000,35.100,22.500,17.300,7.600
100.100,85.600,72.900,54.500,36.600,18.100
92.500,69.300,58.900,39.800,29.700,12.100
74.700,60.600,48.100,33.600,22.600,12.000
62.300,48.200,35.800,24.300,12.300,7.600
65.800,51.900,32.700,25.400,18.700,9.300
69.500,53.100,42.200,24.700,15.800,6.800
68.800,51.900,40.300,26.500,16.800,6.600
95.900,78.600,61.400,37.300,25.200,13.300
100.100,75.400,52.100,44.600,24.500,10.800
,38.800,33.600,25.900,23.900,7.200
80.000,62.100,50.700,36.600,,10.500
84.800,72.000,56.200,38.500,32.300,12.400
97.900,83.500,71.000,53.100,35.700,17.600
95.900,78.600,61.400,37.300,25.200,13.300
,50.700,40.500,31.900,25.700,10.100
49.300,38.900,30.200,19.000,12.500,6.200
98.400,84.100,71.600,53.500,36.000,17.800
89.200,70.400,57.800,39.600,30.400,12.800
83.700,65.400,53.400,37.900,26.500,12.300
50.600,40.800,30.600,20.200,9.800,6.000
102.800,80.600,62.100,39.300,25.700,10.400
108.200,88.000,69.200,35.100,24.400,10.900
83.600,66.200,42.400,33.000,24.700,12.200
95.500,73.000,55.000,31.700,23.900,12.800
,37.900,32.200,28.100,23.600,12.300
