Bom Sucesso do Sul,Unnamed: 0,120.200,101.300,78.600,45.900,29.700,14.200
Borrazópolis,101.600,87.300,77.100,56.200,39.100,28.100,13.700
Braganey,129.600,102.600,77.500,58.200,43.700,27.400,12.800
Brasilândia do Sul,110.200,89.400,67.400,57.500,39.100,29.500,12.300
Cafeara,,,50.700,40.500,31.900,25.700,10.100
Cafelândia,141.000,112.300,89.300,68.600,52.800,26.000,14.500
Cafezal do Sul,,,50.500,40.600,34.900,29.500,12.300
Califórnia,93.900,73.000,59.300,47.300,32.900,22.200,11.700
Cambará,,70.400,57.000,45.800,28.800,21.900,11.000
Cambé,109.900,87.300,74.100,57.900,41.000,34.400,12.800
Cambira,95.500,74.700,60.600,48.100,33.600,22.600,12.000
Campina da Lagoa,123.500,98.400,84.100,71.600,53.500,36.000,17.800
Campina do Simão,,67.800,47.300,30.000,17.300,12.200,5.300
Campina Grande do Sul,,45.600,35.300,27.300,19.800,9.800,5.500
Campo Bonito,129.600,102.600,77.500,58.200,43.700,27.400,12.800
Campo do Tenente,,60.600,46.300,34.300,23.800,11.900,7.000
Campo Largo,,57.500,43.400,32.600,21.400,10.600,6.400
Campo Magro,,53.500,40.400,30.500,20.500,10.100,6.200
Campo Mourão,126.000,100.400,85.900,73.100,54.700,36.800,18.200
Cândido de Abreu,,75.400,59.400,38.300,28.700,21.500,10.500
Candói,,75.300,54.000,32.300,18.500,13.300,5.700
Cantagalo,,69.300,48.100,30.100,17.600,12.800,5.600
Capanema,,105.700,84.600,64.700,41.700,28.300,10.700
Capitão Leônidas Marques,,100.100,75.400,56.400,45.400,23.300,11.700
Carambeí,,76.100,55.100,42.800,27.700,18.700,8.600
Carlópolis,,,57.200,43.900,28.900,22.200,10.300
Cascavel,129.200,102.300,77.200,58.000,44.900,26.900,12.700
Castro,,74.900,52.400,40.400,26.300,18.600,8.400
Catanduvas,131.300,104.100,78.500,58.900,45.800,27.500,14.400
Centenário do Sul,,,50.700,40.500,31.900,25.700,10.100
Cerro Azul,,,29.300,22.900,15.000,7.700,4.900
Céu Azul,133.100,104.800,78.900,59.100,51.900,27.400,12.900
Chopinzinho,,95.100,76.900,66.400,34.700,26.300,9.600
Cianorte,,95.300,64.900,49.100,36.600,26.900,10.800
Cidade Gaúcha,,,49.700,44.800,37.400,27.800,11.200
Clevelândia,,110.200,88.200,78.100,33.300,22.500,11.200
Colombo,,63.000,52.700,42.500,30.200,14.800,8.100
Colorado,,68.800,49.100,42.000,35.300,,10.000
Congonhinhas,,,56.400,47.600,26.900,20.100,6.100
Conselheiro Mairinck,,,50.600,37.600,29.800,22.800,9.900
Contenda,,57.200,42.000,32.300,21.700,10.500,6.400
Corbélia,131.200,104.500,79.000,59.600,48.400,30.200,13.000
Cornélio Procópio,,68.800,52.000,40.300,26.600,17.000,6.500
Coronel Domingos Soares,,77.500,60.600,49.600,,16.200,7.900
Coronel Vivida,,99.200,79.500,63.000,34.700,26.100,10.000
Corumbataí do Sul,111.000,87.200,74.100,62.700,46.900,31.500,15.500
Cruz Machado,,,37.000,25.000,12.900,7.300,3.200
Cruzeiro do Iguaçu,,112.200,89.800,67.700,43.800,30.000,11.400
Cruzeiro do Oeste,,68.200,46.700,31.300,28.100,24.400,12.300
Cruzeiro do Sul,,,42.600,39.400,29.300,24.000,7.500
Cruzmaltina,101.600,87.300,77.100,55.900,39.100,28.100,13.700
Curiúva,,,45.100,36.700,27.700,21.000,7.600
Diamante d'Oeste,,92.900,72.200,49.900,29.800,19.800,10.000
Diamante do Norte,,,40.700,33.700,26.300,24.800,7.300
